,count,mean,std,min,25%,50%,75%,max,median
Latency,40.0,0.0014125000000000003,0.000812112278737585,0.000166666666666667,0.000833333333333333,0.00116666666666667,0.00216666666666667,0.00333333333333333,0.00116666666666667
PathLoss,40.0,98.975,96.32649807176232,5.0,29.0,53.0,173.0,404.0,53.0
Bandwidth,40.0,84.52380952380955,117.50527140298342,0.0,0.0,0.0,166.666666666667,333.333333333333,0.0
Coverage,40.0,0.4,0.49613893835683387,0.0,0.0,0.0,1.0,1.0,0.0
